지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),합계 일사(MJ/m2),평균 전운량(1/10)
108,2015-01-01,-7.7,-9.8,-4.3,,6.5,4.6,9.79,.8
108,2015-01-02,-6,-9,-1.9,,6.7,3.2,9.07,1.9
108,2015-01-03,-2.7,-9.2,3.1,,4.4,1.9,8.66,3.9
108,2015-01-04,2.5,.2,8.5,0,3.7,2,5.32,4.3
108,2015-01-05,3.7,-1.1,7.9,.4,4.4,2.4,6.48,7.1
108,2015-01-06,-3.2,-7.6,4,3,7.3,4.3,10.47,2.6
108,2015-01-07,-5.5,-8.9,-.6,,4.5,2.5,10.12,.3
108,2015-01-08,-5.1,-9.5,-.2,,4.8,2.2,10.09,0
108,2015-01-09,-2.1,-6.8,3.5,,4.2,2,8.74,.6
108,2015-01-10,-.3,-5.6,4.8,,6.3,2.3,9.41,.6
108,2015-01-11,-.4,-4.3,2.5,,6.8,3.6,9.6,1.3
108,2015-01-12,-2.7,-7.3,3.7,,4.7,1.8,10.05,0
108,2015-01-13,.2,-5.1,5.8,,3.4,1.8,8.14,5.4
108,2015-01-14,2.5,-.3,6.1,,3.4,1.5,3.36,9
108,2015-01-15,2.8,-1.1,9,,4.7,2.1,8.47,2.6
108,2015-01-16,.8,-2.5,3.4,.3,7.4,4,2.79,8.1
108,2015-01-17,-4.1,-7.7,0,,7.7,3.8,10.89,.3
108,2015-01-18,-1.3,-6.5,2.1,4,4.9,2.3,5.06,7.6
108,2015-01-19,-.1,-4,3.1,.1,5.9,3.2,7.52,1.6
108,2015-01-20,-.9,-6.4,4.4,,3.9,1.9,9.79,4.6
108,2015-01-21,2.6,-1.2,6.5,,3.7,2,5.67,8.8
108,2015-01-22,3.1,.8,7.1,,3.1,1.5,5.51,5.1
108,2015-01-23,1.2,-1.6,4.9,,5.2,2.6,6.88,3.4
108,2015-01-24,3.7,.8,8.4,,4.4,1.8,8.35,6.3
108,2015-01-25,3,1.1,5,3,5.2,3.5,2.08,9.5
108,2015-01-26,3.6,.2,6.5,.5,6.1,2.6,3.06,8.4
108,2015-01-27,-3.6,-7.4,.5,,6.2,3.7,11.85,1.1
108,2015-01-28,-4.1,-9.1,2.7,,5,2.3,10.98,1.6
108,2015-01-29,-1.1,-4.6,3,,5,2.3,4.09,9.3
108,2015-01-30,-3.3,-7,.8,,7.1,3.8,10.69,3.3
108,2015-01-31,-4.5,-8.5,.8,,4.5,2.6,12.07,0
108,2015-02-01,-3,-8.2,3.6,,4.3,1.9,12.34,.3
108,2015-02-02,-.6,-5.3,6.4,,3.7,1.5,10.21,2.4
108,2015-02-03,.6,-3.5,7.2,,4.3,2.1,10.3,3.9
108,2015-02-04,.4,-3.1,5.8,,5.1,2,9.31,3.4
108,2015-02-05,-.1,-3.8,4.8,,5.7,3,10.43,0
108,2015-02-06,.4,-4.3,6.5,,4.9,2.2,11.5,2.1
108,2015-02-07,1.2,-2.7,5.7,,7,2.6,6.2,6.5
108,2015-02-08,-9.8,-11.9,-2.8,,8,5.3,12.92,0
108,2015-02-09,-5.7,-13,-.1,.2,7.6,3.1,10.34,3.4
108,2015-02-10,1.7,-2,5.8,,6.3,2.8,5.88,4.6
108,2015-02-11,2.7,-.8,8,,5,2.5,11.1,5
108,2015-02-12,-2.2,-4.7,1.6,,8.1,4.2,13.4,0
108,2015-02-13,-1.6,-6.4,4,,6.6,3.1,13.33,0
108,2015-02-14,2,-3.1,6.6,,5.2,2.2,3.13,6.5
108,2015-02-15,7.9,3.2,13,,5.1,2.9,10.41,8.3
108,2015-02-16,5,4.1,7.9,10.5,5.8,3.5,1.41,10
108,2015-02-17,1.9,.5,4.1,.5,5.4,3.5,4.86,9.4
108,2015-02-18,.8,-1.5,3.3,0,4.2,2.5,5.48,7
108,2015-02-19,2.2,-2.7,8.6,,5,1.6,11.93,1.4
108,2015-02-20,5.2,-1.3,11.4,,3.3,2,11.33,5.1
108,2015-02-21,5.7,4.8,6.7,8,5.6,3.4,2.74,9.8
108,2015-02-22,3.5,-.7,7,2.5,7.3,4.1,7.29,6.3
108,2015-02-23,.9,-2.4,5.9,,5.1,3,12.64,2.9
108,2015-02-24,2.1,-1.1,7.5,,4.3,2.3,13.75,2.9
108,2015-02-25,5.4,.2,12.5,.5,6.2,2.9,11.32,7.8
108,2015-02-26,1.2,-3.5,4.7,.5,8.5,4.9,12.37,4.6
108,2015-02-27,-1.3,-5.6,4.8,,6.8,3.2,15.22,2.4
108,2015-02-28,2.7,-2,6.4,,3.9,2,5.9,8.6
108,2015-03-01,2.4,-.2,5.9,0,7.1,3.7,9.47,6.1
108,2015-03-02,3.9,-1.9,9.7,,6.1,2.8,15.5,1.6
108,2015-03-03,2.8,-1.3,6.7,5.5,7.4,3.4,4.6,9.4
108,2015-03-04,-2.1,-4.6,1.4,,9.1,5.3,16.79,.8
108,2015-03-05,-.3,-5.4,5.5,,4,1.9,12.96,3.9
108,2015-03-06,2.9,-3.2,10.4,,4.4,2.3,16.17,.5
108,2015-03-07,4.2,-2.3,11,,5.3,2.3,16,0
108,2015-03-08,7.7,.4,15.1,,4.4,1.8,13.63,3.8
108,2015-03-09,2.2,-5.4,8.2,,9.1,5.4,15.27,4
108,2015-03-10,-3.4,-6.9,1,,9.1,5.9,18.52,0
108,2015-03-11,.4,-5.1,7.5,,8.7,4.5,12.06,1.4
108,2015-03-12,2.1,-3.5,6.7,,7.3,4,17.66,2.1
108,2015-03-13,5.6,1.8,11,.1,6.3,3,18.08,1.8
108,2015-03-14,4.3,-1.2,11.6,,6.6,2.3,16.81,2
108,2015-03-15,5.5,0,12.5,,5.4,2.2,15.39,1.8
108,2015-03-16,9.8,1.3,18.6,,4.1,2,16.19,2
108,2015-03-17,10.7,6.9,16.1,0,4.6,1.8,5.91,7.9
108,2015-03-18,10.7,8.4,14.4,1.5,6.7,4,4.62,9.8
108,2015-03-19,12.4,6.5,21,,7.1,2.5,16.82,2.6
108,2015-03-20,13.4,7.6,21.9,,6.1,2.5,15.98,4.8
108,2015-03-21,11.7,6.9,17.8,,6.5,2.7,14.97,.5
