사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2021-12,1호선,1,서울역,1023496,992919,158933,149469,2022-01-03 10:00:40
2021-12,1호선,10,동묘앞,112756,119021,122515,123248,2022-01-03 10:00:40
2021-12,1호선,2,시청,504322,504450,65715,65083,2022-01-03 10:00:40
2021-12,1호선,3,종각,755897,740655,116282,108719,2022-01-03 10:00:40
2021-12,1호선,4,종로3가,407934,375067,249355,234742,2022-01-03 10:00:40
2021-12,1호선,5,종로5가,359249,362984,220044,210306,2022-01-03 10:00:40
2021-12,1호선,6,동대문,203911,186986,104871,102595,2022-01-03 10:00:40
2021-12,1호선,7,신설동,261608,255008,101018,97747,2022-01-03 10:00:40
2021-12,1호선,8,제기동,217819,208609,226280,241771,2022-01-03 10:00:40
2021-12,1호선,9,청량리(서울시립대입구),310669,311345,220908,221568,2022-01-03 10:00:40
2021-12,2호선,11,시청,540680,509452,45989,41650,2022-01-03 10:00:40
2021-12,2호선,12,을지로입구,982885,988632,86779,80990,2022-01-03 10:00:40
2021-12,2호선,13,을지로3가,506065,507522,67899,66751,2022-01-03 10:00:40
2021-12,2호선,14,을지로4가,255754,254756,76676,74906,2022-01-03 10:00:40
2021-12,2호선,15,동대문역사문화공원(DDP),286952,327550,48376,51074,2022-01-03 10:00:40
2021-12,2호선,16,신당,291309,306517,82439,84251,2022-01-03 10:00:40
2021-12,2호선,17,상왕십리,322628,311510,59983,60404,2022-01-03 10:00:40
2021-12,2호선,18,왕십리(성동구청),400478,339296,44846,38549,2022-01-03 10:00:40
2021-12,2호선,19,한양대,190894,203182,11090,11286,2022-01-03 10:00:40
2021-12,2호선,20,뚝섬,527139,561612,52803,53527,2022-01-03 10:00:40
2021-12,2호선,21,성수,857242,938218,95402,97223,2022-01-03 10:00:40
2021-12,2호선,22,건대입구,893632,962717,77515,81692,2022-01-03 10:00:40
2021-12,2호선,23,구의(광진구청),543750,532520,89370,91337,2022-01-03 10:00:40
2021-12,2호선,24,강변(동서울터미널),743776,720856,94027,90651,2022-01-03 10:00:40
2021-12,2호선,25,잠실나루,295802,284133,69511,69653,2022-01-03 10:00:40
2021-12,2호선,26,잠실(송파구청),1818728,1800757,157744,150693,2022-01-03 10:00:40
2021-12,2호선,27,잠실새내,479495,483488,89134,89009,2022-01-03 10:00:40
2021-12,2호선,28,종합운동장,157245,171325,33220,34300,2022-01-03 10:00:40
2021-12,2호선,29,삼성(무역센터),1316032,1329333,105062,96936,2022-01-03 10:00:40
2021-12,2호선,30,선릉,1220815,1087432,187935,165934,2022-01-03 10:00:40
2021-12,2호선,31,역삼,1149888,1284203,133013,133875,2022-01-03 10:00:40
2021-12,2호선,32,강남,2039844,2034226,153264,137102,2022-01-03 10:00:40
2021-12,2호선,33,교대(법원.검찰청),722883,820071,127929,143147,2022-01-03 10:00:40
2021-12,2호선,34,서초,497366,476180,64735,64091,2022-01-03 10:00:40
2021-12,2호선,35,방배,370160,391002,63384,62418,2022-01-03 10:00:40
2021-12,2호선,36,사당,833943,936935,151989,146637,2022-01-03 10:00:40
2021-12,2호선,37,낙성대(강감찬),650182,619644,90234,92040,2022-01-03 10:00:40
2021-12,2호선,38,서울대입구(관악구청),1136453,1118181,158698,151755,2022-01-03 10:00:40
2021-12,2호선,39,봉천,514606,466119,121295,121944,2022-01-03 10:00:40
2021-12,2호선,40,신림,1539965,1480893,193877,197464,2022-01-03 10:00:40
2021-12,2호선,41,신대방,604102,581850,107709,109601,2022-01-03 10:00:40
2021-12,2호선,42,구로디지털단지,1423173,1419575,146156,148585,2022-01-03 10:00:40
2021-12,2호선,43,대림(구로구청),544247,555254,101581,105474,2022-01-03 10:00:40
2021-12,2호선,44,신도림,1133288,1133622,162357,153213,2022-01-03 10:00:40
2021-12,2호선,45,문래,486820,501625,67482,66648,2022-01-03 10:00:40
2021-12,2호선,46,영등포구청,513079,525031,91349,89727,2022-01-03 10:00:40
2021-12,2호선,47,당산,432468,503801,50543,55349,2022-01-03 10:00:40
2021-12,2호선,48,합정,798384,850900,58214,57604,2022-01-03 10:00:40
2021-12,2호선,49,홍대입구,1499404,1574086,82749,78997,2022-01-03 10:00:40
2021-12,2호선,50,신촌,791705,810826,103893,100750,2022-01-03 10:00:40
2021-12,2호선,51,이대,311527,326661,40478,42304,2022-01-03 10:00:40
2021-12,2호선,52,아현,216985,208737,55583,55013,2022-01-03 10:00:40
2021-12,2호선,53,충정로(경기대입구),215278,231078,42287,42115,2022-01-03 10:00:40
2021-12,2호선,54,용답,59726,59331,15472,15432,2022-01-03 10:00:40
2021-12,2호선,55,신답,35129,40152,8071,9016,2022-01-03 10:00:40
2021-12,2호선,56,신설동,66641,65309,27957,29919,2022-01-03 10:00:40
2021-12,2호선,57,도림천,29636,30387,6423,7049,2022-01-03 10:00:40
2021-12,2호선,58,양천구청,139297,147569,39410,40048,2022-01-03 10:00:40
2021-12,2호선,59,신정네거리,213219,220374,59590,60611,2022-01-03 10:00:40
2021-12,2호선,60,용두(동대문구청),44326,44259,20365,21497,2022-01-03 10:00:40
